source_split,method,source_seed,field_relative_l2,forward_calls,adjoint_calls
validation,unweighted_pg4,20362001,0.8621048927307129,4,4
validation,unweighted_pg4,20362002,0.9213849306106567,4,4
validation,unweighted_pg4,20362003,0.8739449381828308,4,4
validation,unweighted_pg4,20362004,0.8585711121559143,4,4
validation,unweighted_pg4,20362005,0.8368799686431885,4,4
validation,unweighted_pg4,20362006,0.8800230622291565,4,4
validation,unweighted_pg4,20362007,0.8602739572525024,4,4
validation,unweighted_pg4,20362008,0.919529914855957,4,4
validation,unweighted_pg4,20362009,0.8586167097091675,4,4
validation,unweighted_pg4,20362010,0.8629082441329956,4,4
validation,unweighted_pg4,20362011,0.8805126547813416,4,4
validation,unweighted_pg4,20362012,0.8520905375480652,4,4
validation,unweighted_pg4,20362013,0.8686829209327698,4,4
validation,unweighted_pg4,20362014,0.8925955891609192,4,4
validation,unweighted_pg4,20362015,0.8431159853935242,4,4
validation,unweighted_pg4,20362016,0.9467250108718872,4,4
validation,unweighted_pg4,20362017,0.9017632603645325,4,4
validation,unweighted_pg4,20362018,0.9176217913627625,4,4
validation,unweighted_pg4,20362019,0.8364447951316833,4,4
validation,unweighted_pg4,20362020,0.8928146958351135,4,4
validation,unweighted_pg4,20362021,0.8782652616500854,4,4
validation,unweighted_pg4,20362022,0.8755112290382385,4,4
validation,unweighted_pg4,20362023,0.8959718942642212,4,4
validation,unweighted_pg4,20362024,0.9527175426483154,4,4
validation,prewhitened_pg4,20362001,0.7789273262023926,4,4
validation,prewhitened_pg4,20362002,0.8615202307701111,4,4
validation,prewhitened_pg4,20362003,0.8360739350318909,4,4
validation,prewhitened_pg4,20362004,0.6742292642593384,4,4
validation,prewhitened_pg4,20362005,0.7035395503044128,4,4
validation,prewhitened_pg4,20362006,0.8402774333953857,4,4
validation,prewhitened_pg4,20362007,0.7660010457038879,4,4
validation,prewhitened_pg4,20362008,0.834175705909729,4,4
validation,prewhitened_pg4,20362009,0.7802468538284302,4,4
validation,prewhitened_pg4,20362010,0.7556232213973999,4,4
validation,prewhitened_pg4,20362011,0.8108094334602356,4,4
validation,prewhitened_pg4,20362012,0.7060104608535767,4,4
validation,prewhitened_pg4,20362013,0.806887686252594,4,4
validation,prewhitened_pg4,20362014,0.8237507939338684,4,4
validation,prewhitened_pg4,20362015,0.6982119083404541,4,4
validation,prewhitened_pg4,20362016,0.9089891910552979,4,4
validation,prewhitened_pg4,20362017,0.8302432894706726,4,4
validation,prewhitened_pg4,20362018,0.8648748993873596,4,4
validation,prewhitened_pg4,20362019,0.6832197904586792,4,4
validation,prewhitened_pg4,20362020,0.8202173113822937,4,4
validation,prewhitened_pg4,20362021,0.8127223253250122,4,4
validation,prewhitened_pg4,20362022,0.770404040813446,4,4
validation,prewhitened_pg4,20362023,0.8476048707962036,4,4
validation,prewhitened_pg4,20362024,0.9336680173873901,4,4
validation,cg_unrolled4,20362001,0.18222053349018097,4,4
validation,cg_unrolled4,20362002,0.3784705102443695,4,4
validation,cg_unrolled4,20362003,0.22620241343975067,4,4
validation,cg_unrolled4,20362004,0.16405542194843292,4,4
validation,cg_unrolled4,20362005,0.13555395603179932,4,4
validation,cg_unrolled4,20362006,0.30814388394355774,4,4
validation,cg_unrolled4,20362007,0.14154335856437683,4,4
validation,cg_unrolled4,20362008,0.33315637707710266,4,4
validation,cg_unrolled4,20362009,0.14409716427326202,4,4
validation,cg_unrolled4,20362010,0.1913244128227234,4,4
validation,cg_unrolled4,20362011,0.15894803404808044,4,4
validation,cg_unrolled4,20362012,0.11655551195144653,4,4
validation,cg_unrolled4,20362013,0.18602414429187775,4,4
validation,cg_unrolled4,20362014,0.33449918031692505,4,4
validation,cg_unrolled4,20362015,0.16040156781673431,4,4
validation,cg_unrolled4,20362016,0.6121649146080017,4,4
validation,cg_unrolled4,20362017,0.32569748163223267,4,4
validation,cg_unrolled4,20362018,0.3850308358669281,4,4
validation,cg_unrolled4,20362019,0.13183748722076416,4,4
validation,cg_unrolled4,20362020,0.3323460519313812,4,4
