method,method_label,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2,used_noisy_reprojection_rel_l2,used_clean_reprojection_rel_l2,correction_vs_feasible_relative_l2,outside_support_relative_l2,negative_voxel_fraction
locked_fno_raw,Locked FNO (raw),val,0,180,30360841,g_011010111,validation,1,0.02,0.40337780376540955,0.5934568543035625,0.19900922519382339,0.19801103812945406,0.0981853178138975,0.09771544168777238,0.00634765625
locked_fno_raw,Locked FNO (raw),val,1,180,30360841,g_101011110,validation,1,0.02,0.3228802227463954,0.5525488308510083,0.14528339010624677,0.14468945980286052,0.04047583862232224,0.0380181677243678,0.22021484375
locked_fno_raw,Locked FNO (raw),val,2,180,30360841,g_111001110,validation,1,0.02,0.5372630331673309,0.7255735202676087,0.20127643102240794,0.20126205191123367,0.12121548124799197,0.12033204304808516,0.0126953125
locked_fno_raw,Locked FNO (raw),val,3,180,30360841,g_111010110,validation,1,0.02,0.4059375594013156,0.589658557052286,0.20408614599197,0.20346324373009592,0.0896696160534078,0.08931095851685686,0.01611328125
locked_fno_raw,Locked FNO (raw),val,4,171,30360832,g_011010111,validation,1,0.05,0.38315809244949883,0.42467623085394834,0.1938264550708368,0.19011490694315247,0.09459799434057753,0.09415234376902201,0.01953125
locked_fno_raw,Locked FNO (raw),val,5,171,30360832,g_101011110,validation,1,0.05,0.2019575625625367,0.3196117389332023,0.10760048570002886,0.1048384246530509,0.047986590686656644,0.04636803581421774,0.3232421875
locked_fno_raw,Locked FNO (raw),val,6,171,30360832,g_111001110,validation,1,0.05,0.3161443088979529,0.5307779527755664,0.13399282507797933,0.12888970751373344,0.1047444165516829,0.10417188207387579,0.0205078125
locked_fno_raw,Locked FNO (raw),val,7,171,30360832,g_111010110,validation,1,0.05,0.38760670690484167,0.4277552596066193,0.18535825918576385,0.18203601057830385,0.0893182053962943,0.08876570217394524,0.0361328125
locked_fno_raw,Locked FNO (raw),val,8,160,30360821,g_011010111,validation,0,0.02,0.24018742111794977,0.2389224185093969,0.21914371597380736,0.21859382279674144,0.04933920244375956,0.049035991725240924,0.16748046875
locked_fno_raw,Locked FNO (raw),val,9,160,30360821,g_101011110,validation,0,0.02,0.1968286214431275,0.16017431645947203,0.14164178672649197,0.14031803709372073,0.09863376447597479,0.09646197295774639,0.5546875
locked_fno_raw,Locked FNO (raw),val,10,160,30360821,g_111001110,validation,0,0.02,0.2067885877765459,0.25528422984784804,0.17260186449473175,0.17203301650276517,0.061446903759658854,0.06106893954500943,0.16845703125
locked_fno_raw,Locked FNO (raw),val,11,160,30360821,g_111010110,validation,0,0.02,0.21208147772526015,0.19870471178490612,0.17829555272776784,0.17765600944265986,0.05397183126054129,0.05373059992832057,0.23876953125
locked_fno_raw,Locked FNO (raw),val,12,196,30360857,g_011010111,validation,0,0.02,0.21953938427402933,0.2073609557476592,0.214121544817465,0.2135063969868946,0.06401987903456316,0.06388908676628775,0.0380859375
locked_fno_raw,Locked FNO (raw),val,13,196,30360857,g_101011110,validation,0,0.02,0.1716892799902399,0.13830246258264425,0.139740504313476,0.139618950346742,0.05967729687390423,0.058149450622440015,0.3701171875
locked_fno_raw,Locked FNO (raw),val,14,196,30360857,g_111001110,validation,0,0.02,0.22206721087184708,0.34100430921402686,0.1807353663134374,0.18067597814064618,0.08053021438280766,0.0802352043378024,0.0634765625
locked_fno_raw,Locked FNO (raw),val,15,196,30360857,g_111010110,validation,0,0.02,0.20053613542070872,0.19110055549497054,0.18340234930865867,0.18304695792615844,0.05953101518915218,0.05939039344229749,0.076171875
locked_fno_raw,Locked FNO (raw),val,16,174,30360835,g_011010111,validation,0,0.02,0.1827184905484786,0.16101722850503633,0.17607238622105087,0.17647139092204311,0.0737186098538527,0.0735191131610142,0.02978515625
locked_fno_raw,Locked FNO (raw),val,17,174,30360835,g_101011110,validation,0,0.02,0.11309163199106116,0.10748847537692889,0.10234287720534514,0.10277496238234368,0.05078468792413916,0.0497719734385897,0.39306640625
locked_fno_raw,Locked FNO (raw),val,18,174,30360835,g_111001110,validation,0,0.02,0.18973453832803214,0.30637856198987823,0.13532781566382257,0.13588943479797477,0.08583743547927407,0.08551912662313714,0.04541015625
locked_fno_raw,Locked FNO (raw),val,19,174,30360835,g_111010110,validation,0,0.02,0.1546050209022124,0.13714447210238953,0.14595637276880336,0.14665827038759988,0.0626510618870389,0.06252846509601044,0.0458984375
locked_fno_raw,Locked FNO (raw),val,20,178,30360839,g_011010111,validation,1,0.02,0.24444624679886912,0.34856448726723877,0.15088516897179957,0.151380108328927,0.081525709512961,0.08125612468409016,0.01123046875
locked_fno_raw,Locked FNO (raw),val,21,178,30360839,g_101011110,validation,1,0.02,0.1538008025025998,0.28289521925017164,0.08467633488034078,0.08438882404913897,0.044488490578494404,0.04114470468015871,0.3115234375
locked_fno_raw,Locked FNO (raw),val,22,178,30360839,g_111001110,validation,1,0.02,0.4614045456378444,0.6227850456015493,0.20791840472831447,0.20619965652984554,0.10861515314043939,0.10796659556042633,0.0400390625
locked_fno_raw,Locked FNO (raw),val,23,178,30360839,g_111010110,validation,1,0.02,0.24778670596101088,0.36143787878980166,0.14598194206965115,0.14621920238008715,0.07654764788528247,0.07630935435229556,0.0302734375
locked_fno_raw,Locked FNO (raw),val,24,173,30360834,g_011010111,validation,0,0.05,0.3258414286883229,0.3720294393729748,0.263614310779906,0.2630193226910343,0.06045063918551853,0.06013310482835709,0.3193359375
locked_fno_raw,Locked FNO (raw),val,25,173,30360834,g_101011110,validation,0,0.05,0.2517466861227533,0.2605184770866591,0.17420115889757246,0.17221968063116178,0.10661792062874151,0.10342230147466207,0.55908203125
locked_fno_raw,Locked FNO (raw),val,26,173,30360834,g_111001110,validation,0,0.05,0.2818941919002432,0.3924188651687506,0.23572201312260568,0.23442514307647921,0.06574910883031955,0.06519806957376692,0.3056640625
