case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,matched_step,total_calls,baseline_kind,dc_step_size,operator_norm_squared_bound,projection_iterations,paired_call_budget,matched_step_internal_offset
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5968408693463881,0.06117226222296611,0.06940251363257158,0.020356556735800918,1.1660456514664301,0.0046046099742749836,0.018369358790875256,,,14,14,0,1,0.0,1,14,cgls_matched,,8.977587798077511,0,14,1
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.6157464450463019,0.06310995934390518,0.07160091280835487,0.024062051896822936,0.9548272233065599,0.2528098260504097,0.2521368862172539,,,14,14,0,1,0.0,1,14,huber_pdhg_matched,,8.977587798077511,0,14,1
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5961710292723394,0.06110360802255583,0.06932462254424562,0.020375641464801066,1.164055306644108,0.006313938841702729,0.017259023763622032,,0.00016063223475762004,14,14,0,1,0.0,1,14,base_landweber_matched,0.10916072580318961,8.977587798077511,0,14,1
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5971029818222995,0.061199127027190936,0.06943299288695413,0.02034016156716809,1.1673229960372746,0.0035795485373158057,0.018632674488932383,,,15,15,0,1,0.0,2,15,cgls_matched,,8.977587798077511,1,15,2
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.607077191672447,0.0622214179120097,0.0705928250476724,0.023662366773574077,0.9664613485004444,0.23132820254088643,0.23061282712585043,,,15,15,0,1,0.0,2,15,huber_pdhg_matched,,8.977587798077511,1,15,2
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5961853694286711,0.06110507779422947,0.06932629006224986,0.020375108554248268,1.1641094644930692,0.0061223448566231405,0.017232245288565654,,0.00021191416173034085,15,15,0,1,0.0,2,15,base_landweber_matched,0.10916072580318961,8.977587798077511,1,15,2
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5972661942929209,0.061215855231581226,0.06945197174094866,0.02033831652340771,1.1679258483638753,0.002849333139110811,0.018713323552257393,,,16,16,0,1,0.0,3,16,cgls_matched,,8.977587798077511,2,16,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.599511718989623,0.0614460067386743,0.06971308834066446,0.023289441134989722,0.9759651525461311,0.21276230606936197,0.21201008852126088,,,16,16,0,1,0.0,3,16,huber_pdhg_matched,,8.977587798077511,2,16,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5961985733520055,0.06110643110949669,0.06932782545554526,0.02037453970781161,1.1641660314462514,0.0059569516296672015,0.01721677930108246,,0.0002592703665720268,16,16,0,1,0.0,3,16,base_landweber_matched,0.10916072580318961,8.977587798077511,2,16,3
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5975108025880026,0.0612409259724389,0.06948041555471203,0.02034361693788334,1.1685755973659446,0.0017212303513736951,0.019026516005655414,,,18,18,0,1,0.0,5,18,cgls_matched,,8.977587798077511,4,18,5
6c144f9849f9520d81e5,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.5867877968171817,0.060141888432416926,0.06823351107411484,0.022618726612586553,0.9891451467626181,0.18233274747536043,0.1815222185221701,,,18,18,0,1,0.0,5,18,huber_pdhg_matched,,8.977587798077511,4,18,5
6c144f9849f9520d81e5,development,smooth_no_interface,2101,base_landweber_matched,-1,0.5962235622431531,0.061108992306426135,0.06933073124157234,0.020373435913221907,1.164275375485053,0.005674529180637073,0.017203324259785123,,0.00034558037861521465,18,18,0,1,0.0,5,18,base_landweber_matched,0.10916072580318961,8.977587798077511,4,18,5
6c144f9849f9520d81e5,development,smooth_no_interface,2101,cgls_matched,-1,0.5976395706410947,0.061254123850657795,0.06949538910464663,0.020336611077119284,1.1688733996772454,0.0006708248717471868,0.019224248143135267,,,22,22,0,1,0.0,9,22,cgls_matched,,8.977587798077511,8,22,9
